attendance_percentage,assignment_marks,previous_sem_sgpa,cgpa,backlogs,ia1,ia2,avg_ia,pass_probability,risk_level
60.1,5.1,5.48,5.66,0,15.4,21.6,18.5,64.38,Medium
85.4,6.5,9.03,9.21,1,31.7,37.8,34.8,84.91,Low
85.4,7.5,9.45,9.63,0,40.4,46.5,43.4,94.56,Low
81.3,7.2,8.18,8.35,1,32.8,39.0,35.9,82.14,Low
53.5,4.8,7.6,7.77,2,31.0,37.2,34.1,59.9,Medium
79.8,5.2,6.87,7.05,1,23.3,29.5,26.4,70.9,Medium
69.5,9.2,5.53,5.7,0,20.1,26.3,23.2,73.94,Medium
66.8,7.6,8.12,8.3,1,45.5,50.0,47.7,79.93,Low
79.7,8.0,6.63,6.8,3,47.7,50.0,48.9,79.55,Low
92.0,8.2,6.5,6.68,0,28.6,34.7,31.6,81.49,Low
62.2,8.6,8.42,8.6,1,39.7,45.9,42.8,81.57,Low
74.1,7.3,6.82,7.0,2,41.7,47.9,44.8,79.18,Low
56.1,8.3,7.12,7.3,0,39.4,45.6,42.5,80.33,Low
77.6,8.1,6.81,6.99,1,40.4,46.6,43.5,81.17,Low
38.9,5.3,4.31,4.49,1,29.3,35.5,32.4,58.04,Medium
41.7,7.3,7.16,7.34,1,26.2,32.3,29.3,67.59,Medium
63.9,6.2,6.02,6.19,0,30.2,36.4,33.3,64.73,Medium
53.3,5.4,4.97,5.14,3,28.4,34.6,31.5,54.09,High
42.3,8.5,5.21,5.39,3,29.8,35.9,32.8,51.43,High
100.0,8.7,8.61,8.79,0,44.0,50.0,47.0,98.1,Low
67.6,5.9,5.68,5.86,1,27.2,33.3,30.2,69.5,Medium
99.4,9.0,8.76,8.93,0,42.5,48.7,45.6,99.42,Low
43.0,3.1,3.22,3.39,1,12.4,18.5,15.4,45.21,High
62.8,5.1,4.24,4.42,3,36.8,42.9,39.9,60.74,Medium
84.0,6.6,7.45,7.63,1,28.5,34.7,31.6,72.46,Medium
94.8,7.1,6.99,7.16,1,37.5,43.6,40.5,81.99,Low
91.4,6.0,8.63,8.81,0,38.0,44.2,41.1,83.71,Low
72.1,7.2,7.47,7.64,1,43.3,49.4,46.3,79.39,Low
64.1,6.6,5.32,5.49,1,16.2,22.4,19.3,67.2,Medium
64.5,7.8,6.15,6.33,0,36.3,42.5,39.4,78.76,Low
64.5,9.0,10.0,10.0,1,36.6,42.7,39.6,89.92,Low
69.4,2.8,7.15,7.32,1,40.9,47.1,44.0,72.2,Medium
69.0,5.5,4.75,4.93,3,19.8,26.0,22.9,52.32,High
55.1,4.1,5.2,5.37,2,24.0,30.2,27.1,56.73,Medium
67.1,5.9,3.66,3.84,2,39.6,45.8,42.7,64.42,Medium
78.3,7.6,6.64,6.81,1,36.3,42.5,39.4,78.81,Low
69.7,6.8,4.78,4.96,1,43.9,50.0,46.9,64.49,Medium
83.6,7.8,9.53,9.71,0,40.1,46.3,43.2,93.31,Low
52.6,6.0,7.45,7.62,0,33.3,39.5,36.4,66.98,Medium
61.1,9.0,7.42,7.6,1,35.8,42.0,38.9,80.34,Low
91.3,7.8,7.99,8.16,0,45.3,50.0,47.6,88.23,Low
76.5,7.8,4.88,5.05,0,26.6,32.8,29.7,65.83,Medium
65.9,8.9,7.38,7.55,2,31.0,37.2,34.1,77.36,Low
66.4,6.6,7.29,7.46,1,23.9,30.1,27.0,73.66,Medium
61.0,3.7,6.3,6.48,2,31.6,37.8,34.7,64.2,Medium
64.9,7.7,5.64,5.82,3,29.2,35.4,32.3,71.31,Medium
52.3,4.1,3.18,3.36,2,28.8,35.0,31.9,51.94,High
86.2,8.6,8.87,9.05,0,47.3,50.0,48.6,91.64,Low
60.8,4.6,5.94,6.11,1,23.2,29.4,26.3,64.73,Medium
82.3,5.2,5.24,5.42,1,29.0,35.1,32.1,67.02,Medium
79.3,10.0,6.79,6.96,1,28.0,34.2,31.1,82.8,Low
81.8,6.2,6.41,6.59,0,50.0,50.0,50.0,82.51,Low
71.0,9.5,7.81,7.99,1,41.8,48.0,44.9,85.25,Low
87.9,6.8,6.82,7.0,0,36.5,42.7,39.6,76.79,Low
65.5,5.5,5.63,5.8,1,21.0,27.2,24.1,63.45,Medium
73.8,6.6,7.36,7.54,0,33.3,39.5,36.4,78.94,Low
23.2,2.1,4.0,4.18,3,23.2,29.4,26.3,35.5,High
35.2,4.3,5.3,5.47,1,19.9,26.1,23.0,52.23,High
57.9,3.0,4.23,4.41,1,30.3,36.5,33.4,57.92,Medium
53.9,4.6,7.85,8.02,1,41.7,47.9,44.8,73.92,Medium
55.7,8.8,6.97,7.15,0,30.8,36.9,33.9,70.23,Medium
63.0,5.6,4.45,4.62,0,19.1,25.3,22.2,59.38,Medium
56.1,4.1,5.23,5.41,2,24.6,30.8,27.7,55.0,High
100.0,10.0,8.82,8.99,0,50.0,50.0,50.0,99.5,Low
61.1,6.2,4.65,4.82,2,38.3,44.4,41.4,62.89,Medium
82.6,7.3,8.32,8.49,2,39.3,45.5,42.4,81.2,Low
63.9,6.3,3.5,3.67,2,26.3,32.5,29.4,53.83,High
55.5,6.2,6.6,6.77,2,26.5,32.7,29.6,64.8,Medium
41.9,3.6,3.97,4.14,3,32.2,38.3,35.2,51.41,High
60.3,8.8,5.88,6.06,0,28.5,34.6,31.5,72.63,Medium
90.6,8.2,8.77,8.95,0,39.3,45.5,42.4,97.06,Low
25.3,3.7,5.94,6.11,2,23.6,29.8,26.7,55.0,Medium
58.7,7.0,6.57,6.74,0,36.4,42.6,39.5,79.32,Low
80.3,8.9,7.07,7.24,1,34.4,40.6,37.5,85.07,Low
51.9,5.1,5.14,5.31,1,29.0,35.2,32.1,65.71,Medium
39.5,2.2,3.56,3.73,0,27.3,33.5,30.4,45.94,High
50.7,6.0,6.28,6.45,0,46.1,50.0,48.1,74.93,Medium
52.2,7.8,6.64,6.82,1,33.6,39.8,36.7,74.7,Medium
71.9,8.4,6.76,6.93,0,41.6,47.8,44.7,86.16,Low
77.7,6.5,8.86,9.04,0,32.8,39.0,35.9,82.45,Low
87.5,10.0,9.9,10.0,0,42.7,48.8,45.8,99.5,Low
80.5,7.4,5.48,5.66,1,36.5,42.7,39.6,73.89,Medium
43.8,4.7,4.73,4.91,0,26.5,32.7,29.6,64.44,Medium
64.2,6.9,6.38,6.56,0,25.6,31.7,28.7,66.3,Medium
87.1,7.6,7.89,8.07,2,33.6,39.8,36.7,78.08,Low
93.2,7.9,7.64,7.81,0,45.0,50.0,47.5,83.61,Low
76.7,8.2,7.01,7.19,2,37.5,43.7,40.6,77.57,Low
72.5,7.8,6.87,7.05,0,47.4,50.0,48.7,90.42,Low
100.0,6.9,9.9,10.0,0,49.8,50.0,49.9,98.97,Low
62.5,4.5,5.89,6.06,5,33.5,39.7,36.6,57.02,Medium
49.0,5.3,6.95,7.13,0,30.4,36.6,33.5,71.13,Medium
51.8,6.7,5.7,5.88,1,26.7,32.9,29.8,63.04,Medium
62.3,3.6,6.06,6.24,1,24.1,30.3,27.2,63.98,Medium
34.7,3.9,5.17,5.35,1,22.4,28.6,25.5,54.15,High
78.2,7.2,6.85,7.03,1,39.5,45.7,42.6,75.7,Low
64.3,7.8,4.76,4.94,1,22.5,28.7,25.6,62.71,Medium
54.4,4.2,4.69,4.87,4,17.7,23.9,20.8,50.04,High
62.8,7.6,4.17,4.34,2,23.1,29.3,26.2,61.37,Medium
70.0,8.3,7.27,7.45,1,39.6,45.7,42.6,84.05,Low
80.1,7.7,8.33,8.51,0,44.4,50.0,47.2,90.03,Low
100.0,10.0,10.0,10.0,0,46.9,50.0,48.5,99.5,Low
100.0,10.0,10.0,10.0,0,50.0,50.0,50.0,99.5,Low
80.9,8.7,8.25,8.43,0,36.2,42.4,39.3,85.44,Low
50.3,3.3,5.29,5.47,5,5.5,11.7,8.6,38.91,High
22.1,2.0,3.0,3.18,2,12.5,18.7,15.6,33.62,High
63.0,7.9,7.35,7.53,1,43.8,50.0,46.9,74.56,Medium
68.7,7.1,4.88,5.06,1,15.3,21.5,18.4,62.88,Medium
59.4,3.0,5.92,6.09,2,31.3,37.4,34.3,64.38,Medium
74.0,7.7,8.12,8.29,3,39.9,46.1,43.0,75.62,Low
60.5,6.4,6.72,6.9,1,27.5,33.7,30.6,70.62,Medium
89.0,6.0,9.02,9.19,0,43.1,49.3,46.2,88.92,Low
94.6,2.9,6.43,6.61,1,26.2,32.4,29.3,68.06,Medium
54.7,4.4,7.45,7.62,0,44.0,50.0,47.0,82.81,Low
31.4,5.0,5.72,5.9,0,24.6,30.8,27.7,54.87,High
52.4,3.9,4.64,4.82,2,20.1,26.3,23.2,47.42,High
51.5,6.9,6.17,6.34,2,39.3,45.5,42.4,67.67,Medium
66.9,5.9,7.64,7.82,1,38.2,44.4,41.3,77.78,Low
92.2,8.3,10.0,10.0,0,42.9,49.1,46.0,99.5,Low
72.9,6.4,7.28,7.45,0,30.6,36.8,33.7,84.55,Low
75.2,8.5,8.37,8.54,0,45.8,50.0,47.9,86.36,Low
57.7,6.3,6.76,6.93,0,25.4,31.6,28.5,68.14,Medium
52.4,3.7,3.97,4.15,0,9.1,15.3,12.2,56.17,Medium
41.5,6.4,4.51,4.69,4,25.4,31.6,28.5,52.08,High
48.7,4.7,5.52,5.69,0,17.5,23.7,20.6,61.92,Medium
100.0,9.2,8.85,9.03,0,50.0,50.0,50.0,96.19,Low
39.7,4.6,6.15,6.32,3,28.3,34.4,31.3,59.37,Medium
78.0,9.7,7.36,7.53,1,34.8,41.0,37.9,84.78,Low
53.8,5.1,4.84,5.02,1,21.4,27.6,24.5,57.91,Medium
79.8,7.4,8.19,8.37,1,28.7,34.9,31.8,78.62,Low
71.8,8.8,7.49,7.67,0,29.6,35.8,32.7,80.88,Low
65.1,9.5,6.22,6.4,1,39.8,46.0,42.9,81.92,Low
60.7,7.0,6.67,6.85,1,49.3,50.0,49.6,72.03,Medium
63.8,7.4,5.63,5.81,0,33.5,39.7,36.6,68.75,Medium
89.9,9.0,7.16,7.33,0,37.1,43.3,40.2,84.19,Low
55.6,5.2,5.33,5.51,2,27.1,33.3,30.2,57.53,Medium
52.0,4.8,5.69,5.87,0,16.9,23.1,20.0,60.36,Medium
43.9,2.8,3.0,3.18,2,37.6,43.7,40.6,51.64,High
74.6,6.8,6.91,7.08,1,34.1,40.3,37.2,77.42,Low
100.0,8.6,9.06,9.24,0,50.0,50.0,50.0,98.52,Low
75.8,6.5,7.45,7.62,0,45.1,50.0,47.6,84.36,Low
48.2,5.5,5.29,5.47,2,20.8,27.0,23.9,57.66,Medium
77.4,6.9,6.84,7.01,3,31.8,37.9,34.9,64.87,Medium
100.0,9.8,8.93,9.1,0,40.4,46.6,43.5,99.5,Low
69.5,7.0,8.14,8.31,1,35.3,41.5,38.4,76.73,Low
71.0,3.5,6.4,6.58,0,30.1,36.3,33.2,68.68,Medium
79.9,7.6,7.62,7.79,0,50.0,50.0,50.0,88.3,Low
60.4,5.4,7.09,7.27,1,30.1,36.3,33.2,69.82,Medium
95.5,9.8,10.0,10.0,0,48.7,50.0,49.3,99.5,Low
53.6,7.8,6.03,6.21,1,39.9,46.1,43.0,71.14,Medium
44.8,5.1,4.65,4.82,1,23.6,29.8,26.7,54.05,High
57.6,3.4,4.47,4.64,2,23.1,29.3,26.2,58.25,Medium
77.0,10.0,9.26,9.44,0,40.7,46.9,43.8,95.6,Low
84.5,9.1,10.0,10.0,0,49.4,50.0,49.7,99.13,Low
54.6,4.9,6.12,6.3,0,36.1,42.2,39.1,71.34,Medium
60.9,7.2,6.55,6.73,0,33.0,39.2,36.1,71.26,Medium
89.2,10.0,8.59,8.77,0,50.0,50.0,50.0,99.5,Low
63.2,6.2,5.39,5.57,1,34.5,40.7,37.6,63.24,Medium
62.3,4.4,6.06,6.24,3,33.0,39.1,36.0,62.18,Medium
83.9,9.5,7.36,7.54,0,40.0,46.1,43.1,86.23,Low
62.7,5.4,6.08,6.26,1,22.4,28.6,25.5,63.46,Medium
71.8,7.7,5.99,6.16,0,29.8,35.9,32.8,72.31,Medium
56.6,5.8,5.49,5.67,0,31.1,37.3,34.2,63.91,Medium
82.3,7.1,8.31,8.48,0,38.6,44.8,41.7,91.0,Low
80.8,5.8,8.69,8.87,0,42.6,48.8,45.7,83.42,Low
77.9,6.5,4.78,4.96,0,28.2,34.4,31.3,72.56,Medium
90.8,8.0,9.48,9.66,1,31.2,37.3,34.2,91.74,Low
35.3,2.7,3.0,3.18,2,5.0,11.2,8.1,34.36,High
65.4,9.2,6.5,6.67,2,31.9,38.1,35.0,73.72,Medium
57.7,3.7,6.84,7.02,2,16.5,22.7,19.6,59.25,Medium
20.0,3.9,4.6,4.78,1,16.6,22.8,19.7,41.5,High
56.1,4.0,5.16,5.34,1,23.8,30.0,26.9,54.62,High
61.2,5.4,5.13,5.3,2,21.8,28.0,24.9,60.49,Medium
83.1,9.8,6.89,7.06,2,44.4,50.0,47.2,84.26,Low
52.5,6.6,4.4,4.57,2,27.9,34.1,31.0,57.68,Medium
67.8,5.9,7.18,7.35,0,30.4,36.6,33.5,73.86,Medium
48.4,5.0,6.25,6.43,3,26.8,33.0,29.9,57.13,Medium
61.0,4.6,5.81,5.99,2,35.0,41.2,38.1,62.7,Medium
85.7,10.0,8.52,8.7,0,37.5,43.7,40.6,85.49,Low
78.3,9.3,6.06,6.24,1,33.1,39.3,36.2,76.5,Low
92.4,8.9,9.49,9.66,0,50.0,50.0,50.0,99.5,Low
75.8,4.6,6.68,6.86,1,38.9,45.1,42.0,74.36,Medium
45.3,3.8,7.39,7.57,2,32.3,38.5,35.4,70.1,Medium
66.0,6.7,6.43,6.6,3,38.6,44.8,41.7,64.92,Medium
85.0,8.0,6.36,6.54,0,22.2,28.4,25.3,74.03,Medium
53.7,4.2,7.05,7.23,1,45.0,50.0,47.5,71.94,Medium
51.4,4.5,4.66,4.84,0,27.5,33.7,30.6,60.52,Medium
63.7,9.2,7.35,7.52,0,41.8,48.0,44.9,75.87,Low
68.2,6.9,7.21,7.39,0,38.7,44.8,41.7,81.4,Low
100.0,10.0,9.95,10.0,1,50.0,50.0,50.0,99.5,Low
98.2,10.0,8.52,8.69,0,48.0,50.0,49.0,89.86,Low
71.9,3.8,5.59,5.76,2,29.3,35.5,32.4,62.48,Medium
50.5,5.9,7.56,7.73,1,29.4,35.6,32.5,66.91,Medium
31.4,4.1,4.38,4.56,1,27.6,33.8,30.7,49.48,High
44.9,4.5,6.53,6.7,1,17.9,24.1,21.0,54.62,High
90.6,6.0,8.25,8.42,1,32.9,39.1,36.0,84.54,Low
83.9,10.0,9.09,9.27,0,50.0,50.0,50.0,99.5,Low
55.3,4.2,4.83,5.0,1,23.4,29.6,26.5,58.06,Medium
52.9,7.2,5.86,6.04,2,26.8,32.9,29.9,54.98,High
22.1,2.5,4.24,4.41,1,9.6,15.8,12.7,41.59,High
62.9,6.5,7.0,7.18,0,35.0,41.1,38.1,74.93,Medium
74.5,5.8,5.67,5.84,2,19.8,26.0,22.9,59.25,Medium
72.9,5.1,5.48,5.66,2,28.2,34.4,31.3,65.12,Medium
44.6,6.1,5.13,5.3,2,32.5,38.7,35.6,61.49,Medium
72.9,3.8,6.53,6.71,2,28.3,34.5,31.4,63.8,Medium
29.8,4.4,3.77,3.94,3,24.6,30.8,27.7,37.28,High
25.3,0.9,5.36,5.53,0,27.3,33.5,30.4,44.41,High
100.0,10.0,8.31,8.48,1,50.0,50.0,50.0,92.53,Low
57.7,5.8,4.64,4.81,7,24.0,30.2,27.1,49.01,High
59.8,5.8,4.86,5.04,1,47.4,50.0,48.7,65.56,Medium
94.5,8.1,8.69,8.86,0,50.0,50.0,50.0,92.65,Low
100.0,10.0,10.0,10.0,0,50.0,50.0,50.0,99.5,Low
55.6,3.8,4.16,4.33,1,17.9,24.1,21.0,54.21,High
65.7,6.4,5.85,6.03,2,30.2,36.4,33.3,66.45,Medium
69.9,4.5,9.04,9.22,4,46.9,50.0,48.4,78.88,Low
81.2,9.7,10.0,10.0,1,50.0,50.0,50.0,93.45,Low
52.4,5.6,5.64,5.82,0,36.0,42.1,39.1,63.56,Medium
74.6,6.0,6.73,6.9,1,37.4,43.6,40.5,73.39,Medium
69.2,8.9,7.97,8.15,1,31.8,38.0,34.9,78.0,Low
81.8,7.9,9.34,9.51,1,41.1,47.3,44.2,82.58,Low
64.9,5.4,6.88,7.06,1,22.1,28.3,25.2,65.95,Medium
73.2,3.9,5.9,6.07,0,22.5,28.6,25.5,70.83,Medium
53.3,4.6,3.2,3.38,1,24.0,30.2,27.1,54.33,High
57.0,5.1,6.91,7.08,0,35.6,41.8,38.7,74.2,Medium
47.3,5.5,6.3,6.47,0,38.1,44.2,41.1,69.65,Medium
66.6,7.9,5.91,6.08,3,39.5,45.6,42.5,73.53,Medium
67.5,7.8,6.24,6.42,1,33.0,39.2,36.1,68.86,Medium
70.6,7.5,7.36,7.54,0,31.1,37.3,34.2,75.42,Low
78.3,9.3,9.0,9.18,0,41.9,48.1,45.0,96.02,Low
52.4,5.0,7.46,7.64,0,24.8,31.0,27.9,69.86,Medium
91.5,7.7,6.85,7.03,1,23.0,29.1,26.1,74.85,Medium
77.2,6.8,7.46,7.64,0,39.6,45.8,42.7,84.5,Low
75.7,8.5,6.35,6.53,1,28.7,34.9,31.8,72.86,Medium
65.4,4.8,5.18,5.36,0,34.0,40.2,37.1,64.42,Medium
79.1,7.0,6.86,7.03,2,44.4,50.0,47.2,74.72,Medium
63.9,8.1,7.65,7.83,0,28.8,35.0,31.9,79.32,Low
100.0,10.0,10.0,10.0,0,50.0,50.0,50.0,99.5,Low
90.5,7.9,10.0,10.0,0,42.7,48.9,45.8,99.5,Low
100.0,10.0,9.06,9.24,0,24.4,30.5,27.4,91.74,Low
60.6,4.0,4.84,5.01,0,28.4,34.6,31.5,61.1,Medium
44.5,4.8,3.0,3.18,5,21.2,27.4,24.3,43.43,High
92.9,9.3,9.77,9.94,1,41.0,47.2,44.1,99.15,Low
62.4,7.6,6.94,7.11,2,50.0,50.0,50.0,76.15,Low
91.2,7.4,6.84,7.01,0,27.4,33.6,30.5,74.97,Medium
31.7,3.6,3.3,3.48,0,21.9,28.0,24.9,44.29,High
88.8,8.0,8.0,8.18,0,34.9,41.1,38.0,83.6,Low
86.4,6.0,8.74,8.92,0,44.2,50.0,47.1,89.96,Low
53.0,7.9,5.06,5.23,0,26.7,32.8,29.7,63.51,Medium
60.9,5.7,7.15,7.33,0,32.6,38.8,35.7,79.6,Low
72.6,8.1,7.69,7.87,0,29.6,35.8,32.7,75.14,Low
68.3,6.4,6.61,6.79,1,29.1,35.3,32.2,67.09,Medium
57.3,5.8,5.95,6.13,0,38.0,44.2,41.1,71.5,Medium
61.7,6.0,7.13,7.31,1,45.5,50.0,47.8,77.73,Low
78.5,4.2,7.11,7.29,2,35.2,41.4,38.3,63.24,Medium
69.5,6.8,7.96,8.13,1,29.0,35.2,32.1,70.68,Medium
85.2,8.7,9.07,9.24,0,48.9,50.0,49.4,93.8,Low
20.0,4.1,3.0,3.18,6,29.2,35.4,32.3,38.92,High
75.0,4.7,6.92,7.1,1,32.7,38.9,35.8,79.6,Low
77.8,6.3,6.75,6.93,0,45.7,50.0,47.9,79.75,Low
78.6,6.0,6.28,6.46,1,31.3,37.5,34.4,72.11,Medium
59.1,8.2,5.44,5.62,0,30.5,36.7,33.6,66.79,Medium
43.9,2.6,3.6,3.77,6,23.4,29.6,26.5,40.64,High
67.1,8.1,7.95,8.13,0,39.6,45.7,42.7,88.87,Low
94.8,10.0,10.0,10.0,0,43.3,49.5,46.4,99.5,Low
51.6,4.0,3.0,3.18,0,15.3,21.5,18.4,49.11,High
91.4,6.3,7.73,7.91,0,48.3,50.0,49.1,85.52,Low
52.6,4.3,5.92,6.1,1,39.5,45.7,42.6,65.76,Medium
58.4,7.9,7.41,7.59,0,44.1,50.0,47.0,85.41,Low
51.2,3.2,4.53,4.71,1,37.7,43.9,40.8,57.1,Medium
79.6,6.8,5.84,6.02,1,32.1,38.3,35.2,66.13,Medium
70.9,9.2,7.74,7.92,0,42.9,49.1,46.0,84.69,Low
80.7,8.3,8.23,8.4,0,48.4,50.0,49.2,89.08,Low
83.7,10.0,9.6,9.78,0,50.0,50.0,50.0,91.62,Low
81.7,7.5,8.21,8.39,0,37.1,43.3,40.2,87.2,Low
71.8,6.2,7.31,7.49,0,30.5,36.7,33.6,78.85,Low
93.4,10.0,10.0,10.0,0,50.0,50.0,50.0,99.5,Low
70.1,6.7,6.64,6.82,0,36.5,42.7,39.6,72.09,Medium
82.1,4.4,7.45,7.63,1,40.9,47.0,43.9,81.33,Low
57.6,7.2,7.42,7.6,0,39.0,45.2,42.1,81.39,Low
54.5,5.5,6.98,7.16,0,39.9,46.1,43.0,75.69,Low
63.9,6.3,6.22,6.39,2,37.4,43.6,40.5,65.23,Medium
92.4,10.0,8.84,9.02,0,28.9,35.1,32.0,87.86,Low
56.4,4.8,4.77,4.94,3,25.8,31.9,28.8,54.2,High
65.9,9.5,7.82,7.99,0,45.5,50.0,47.8,86.33,Low
67.7,6.7,7.22,7.4,2,21.7,27.9,24.8,66.82,Medium
94.7,10.0,9.84,10.0,0,39.4,45.6,42.5,99.5,Low
70.5,6.6,9.05,9.23,2,34.5,40.7,37.6,78.58,Low
99.0,9.9,8.83,9.0,0,49.6,50.0,49.8,92.08,Low
79.3,9.0,9.22,9.39,2,50.0,50.0,50.0,88.75,Low
59.7,3.9,3.81,3.98,1,34.8,41.0,37.9,59.42,Medium
86.1,8.3,6.01,6.18,0,27.7,33.9,30.8,78.66,Low
31.4,4.2,4.66,4.83,0,27.7,33.9,30.8,55.73,Medium
84.1,8.8,6.67,6.84,1,33.5,39.7,36.6,84.66,Low
84.5,10.0,9.86,10.0,0,49.6,50.0,49.8,95.09,Low
88.6,8.3,7.65,7.83,1,42.2,48.4,45.3,84.73,Low
65.8,6.4,6.37,6.54,2,30.2,36.4,33.3,72.98,Medium
40.8,6.7,5.2,5.38,1,37.2,43.4,40.3,55.58,Medium
73.5,5.2,6.34,6.52,1,42.0,48.2,45.1,73.89,Medium
46.2,2.9,4.09,4.27,2,16.2,22.4,19.3,50.35,High
62.1,7.4,6.03,6.2,1,33.9,40.0,37.0,74.54,Medium
75.6,7.7,7.26,7.43,2,42.9,49.1,46.0,81.1,Low
99.6,8.4,7.53,7.7,0,46.0,50.0,48.0,94.25,Low
79.1,7.9,8.6,8.77,0,47.1,50.0,48.5,86.6,Low
27.4,0.0,3.0,3.18,2,15.8,22.0,18.9,38.78,High
84.1,7.1,8.75,8.93,0,38.0,44.2,41.1,84.45,Low
75.0,5.9,5.66,5.84,0,35.5,41.6,38.6,69.12,Medium
82.4,8.8,7.34,7.52,1,23.4,29.6,26.5,79.52,Low
88.8,10.0,8.92,9.09,0,47.2,50.0,48.6,94.6,Low
22.5,4.1,3.0,3.18,2,11.8,18.0,14.9,37.15,High
52.3,6.3,5.36,5.53,0,20.7,26.9,23.8,63.91,Medium
71.8,5.7,9.4,9.57,0,49.1,50.0,49.5,95.35,Low
49.0,4.9,4.24,4.42,3,24.1,30.3,27.2,51.31,High
100.0,10.0,8.6,8.77,1,46.3,50.0,48.2,93.15,Low
72.7,9.2,5.78,5.96,0,33.2,39.4,36.3,78.59,Low
96.7,10.0,6.69,6.87,0,43.3,49.4,46.4,86.57,Low
72.0,3.5,5.35,5.52,0,36.1,42.3,39.2,71.76,Medium
84.3,7.6,7.61,7.79,0,35.1,41.3,38.2,84.61,Low
77.9,7.6,8.41,8.59,1,43.0,49.2,46.1,87.21,Low
87.7,7.4,5.15,5.33,0,42.1,48.2,45.1,72.09,Medium
71.4,7.2,7.12,7.29,2,22.4,28.6,25.5,62.25,Medium
73.9,6.9,8.18,8.36,2,35.9,42.1,39.0,73.28,Medium
49.9,6.8,6.79,6.97,2,23.7,29.8,26.7,69.78,Medium
56.6,5.0,4.84,5.02,1,31.8,38.0,34.9,57.13,Medium
50.7,5.1,5.82,6.0,2,29.2,35.4,32.3,62.67,Medium
80.8,6.0,6.68,6.86,1,38.2,44.4,41.3,74.61,Medium
77.2,8.0,8.63,8.81,0,50.0,50.0,50.0,89.7,Low
80.6,3.3,3.9,4.08,1,22.7,28.9,25.8,58.39,Medium
55.0,6.5,8.1,8.28,1,35.0,41.2,38.1,81.08,Low
80.6,9.1,9.36,9.53,1,50.0,50.0,50.0,94.94,Low
60.5,4.4,5.43,5.6,2,23.8,30.0,26.9,59.88,Medium
69.3,6.6,6.84,7.01,0,39.7,45.9,42.8,82.78,Low
72.1,7.1,7.13,7.31,1,35.8,41.9,38.8,74.61,Medium
88.1,9.7,8.6,8.77,0,50.0,50.0,50.0,98.84,Low
49.8,6.5,6.14,6.32,1,39.3,45.5,42.4,71.6,Medium
83.8,9.0,7.83,8.0,0,47.4,50.0,48.7,93.18,Low
